date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
09/11/2020,15485.56578,15334.90846,-0.009728887,14861.52198,15847.18533,15354.35366,15577.8171,-0.014344978,13022.41665,11857.0116,11671.75973,11360.1462,10941.78804,10697.75367,-0.151874645,-0.22777527,-0.239840374,-0.260135174,-0.287382049,-0.303275546,Extreme Greed,90
10/11/2020,15334.90818,15315.15193,-0.001288319,15093.53449,15456.17305,15274.85377,15577.8171,-0.019448382,13152.65916,11939.70972,11714.88257,11410.15161,10980.81121,10729.23704,-0.138933874,-0.218342126,-0.233060902,-0.253010747,-0.281118407,-0.297588232,Extreme Greed,90
11/11/2020,15315.15265,15704.10497,0.025396568,15295.06154,15978.07215,15636.56684,15636.56684,0,13291.38754,12027.27749,11760.42364,11463.78647,11022.61217,10763.30534,-0.149980448,-0.230823645,-0.247889657,-0.266860393,-0.295074662,-0.311658022,Extreme Greed,86
12/11/2020,15704.10411,16303.9326,0.038195651,15517.48864,16338.63126,15928.05995,15928.05995,0,13440.8991,12119.35992,11806.70667,11519.65624,11067.391,10799.55866,-0.156149642,-0.239118891,-0.258747977,-0.276769658,-0.305163904,-0.32197903,Extreme Greed,87
13/11/2020,16303.93183,16323.95898,0.001228363,15978.98322,16480.74168,16229.86245,16229.86245,0,13601.47931,12214.70947,11855.16504,11578.77659,11112.37111,10836.35589,-0.161947345,-0.247392915,-0.269546179,-0.286575802,-0.315313291,-0.332319918,Extreme Greed,89
14/11/2020,16323.96161,16074.42867,-0.015286298,15733.3556,16327.47198,16030.41379,16229.86245,-0.012288993,13754.56124,12302.01517,11901.91662,11636.20055,11156.54622,10871.33886,-0.141970917,-0.232582806,-0.257541522,-0.274117268,-0.304038788,-0.321830428,Extreme Greed,90
15/11/2020,16074.42975,15967.55301,-0.006648867,15786.07508,16143.2015,15964.63829,16229.86245,-0.016341738,13907.06599,12386.61706,11944.60361,11692.83982,11200.43634,10906.22542,-0.128883114,-0.22412166,-0.251808692,-0.267578782,-0.298422166,-0.316851079,Extreme Greed,86
16/11/2020,15967.55298,16721.19135,0.047198113,15882.91864,16886.65902,16384.78883,16384.78883,0,14075.1228,12477.84256,11991.99646,11752.92333,11247.47257,10943.96055,-0.140964041,-0.238449596,-0.268101861,-0.282693024,-0.313541805,-0.332065816,Extreme Greed,90
17/11/2020,16721.19142,17674.18875,0.056993387,16565.13372,17840.8663,17203.00001,17203.00001,0,14267.32303,12582.31364,12051.71333,11819.67225,11300.13032,10988.4814,-0.17064913,-0.268597708,-0.299441183,-0.312929591,-0.34313025,-0.361246213,Extreme Greed,86
18/11/2020,17674.18942,17780.65183,0.006023609,17310.06417,18616.35676,17963.21047,17963.21047,0,14478.82361,12697.76575,12120.2984,11891.83379,11357.55436,11037.74251,-0.193973503,-0.293123811,-0.325271035,-0.337989508,-0.36773249,-0.385536203,Extreme Greed,91
19/11/2020,17780.65074,17816.89149,0.002038213,17377.89922,18177.93301,17777.91611,17963.21047,-0.010315214,14675.87641,12811.69694,12187.88293,11961.37894,11412.59759,11085.403,-0.174488376,-0.279347655,-0.31443692,-0.32717767,-0.358046381,-0.376450933,Extreme Greed,94
